URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,DiscountPrice (in Rs),OriginalPrice (in Rs),DiscountOffer,SizeOption,Ratings,Reviews
https://www.myntra.com/jeans/roadster/roadster-men-navy-blue-slim-fit-mid-rise-clean-look-jeans/2296012/buy,2296012,Roadster,Bottom Wear,jeans,Men,roadster men navy blue slim fit mid rise clean look jeans,824,1499,45% OFF,"28, 30, 32, 34, 36",3.9,999
https://www.myntra.com/track-pants/locomotive/locomotive-men-black--white-solid-slim-fit-track-pants/13780156/buy,13780156,LOCOMOTIVE,Bottom Wear,track-pants,Men,locomotive men black  white solid slim fit track pants,517,1149,55% OFF,"S, M, L, XL",4,999
https://www.myntra.com/shirts/roadster/roadster-men-navy-white--black-geometric-printed-sustainable-casual-shirt/11895958/buy,11895958,Roadster,Topwear,shirts,Men,roadster men navy white  black geometric printed sustainable casual shirt,629,1399,55% OFF,"38, 40, 42, 44, 46, 48",4.3,999
https://www.myntra.com/shapewear/zivame/zivame-women-black-saree-shapewear-zi3023core0nude/4335679/buy,4335679,Zivame,Lingerie & Sleep Wear,shapewear,Women,zivame women black saree shapewear zi3023core0nude,893,1295,31% OFF,"S, M, L, XL, XXL",4.2,999
https://www.myntra.com/tshirts/roadster/roadster-women-white-solid-v-neck-pure-cotton-t-shirt/11690882/buy,11690882,Roadster,Western,tshirts,Women,roadster women white solid v neck pure cotton t shirt,,599,35% OFF,"XS, S, M, L, XL",4.2,999
https://www.myntra.com/tops/mast--harbour/mast--harbour-women-yellow-solid-tank-top/2490950/buy,2490950,Mast & Harbour,Western,tops,Women,mast  harbour women yellow solid tank top,,599,40% OFF,"XS, S, M, L, XL",4.4,999
https://www.myntra.com/trousers/highlander/highlander-men-olive-green-slim-fit-solid-regular-trousers/6744434/buy,6744434,HIGHLANDER,Bottom Wear,trousers,Men,highlander men olive green slim fit solid regular trousers,599,1499,60% OFF,"30, 32, 34, 36",3.9,998
https://www.myntra.com/tops/mayra/mayra-pink-embroidered-a-line-pure-cotton-top/8439415/buy,8439415,Mayra,Western,tops,Women,mayra pink embroidered a line pure cotton top,,1395,58% OFF,"S, M, L, XL",3.7,998
https://www.myntra.com/tshirts/roadster/roadster-women-pack-of-2-solid-t-shirts/17381394/buy,17381394,Roadster,Western,tshirts,Women,roadster women pack of 2 solid t shirts,,1098,,"XS, S, M, L, XL",4.3,997
https://www.myntra.com/jeans/herenow/herenow-men-blue-slim-fit-mid-rise-clean-look-ankle-length-stretchable-jeans/2359257/buy,2359257,HERE&NOW,Bottom Wear,jeans,Men,herenow men blue slim fit mid rise clean look ankle length stretchable jeans,,2749,,"28, 30, 32, 34, 36",3.5,996
https://www.myntra.com/tights/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-rapid-dry-training-tights/7695793/buy,7695793,HRX by Hrithik Roshan,Sports Wear,tights,Men,hrx by hrithik roshan men rapid dry training tights,1214,2699,55% OFF,"S, M, L, XL, XXL",4.4,996
https://www.myntra.com/tshirts/roadster/roadster-men-navy-blue--white-striped-polo-collar-pure-cotton-t-shirt/10307375/buy,10307375,Roadster,Topwear,tshirts,Men,roadster men navy blue  white striped polo collar pure cotton t shirt,,699,,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.1,996
https://www.myntra.com/kurta-sets/anubhutee/anubhutee-women-pink--white-printed-kurta-with-trousers--dupatta/12873874/buy,12873874,Anubhutee,Indian Wear,kurta-sets,Women,anubhutee women pink  white printed kurta with trousers  dupatta,1019,3399,70% OFF,"S, M, L, XL, XXL",4.2,996
https://www.myntra.com/jumpsuit/athena/athena-women-black-solid-basic-jumpsuit/11634538/buy,11634538,Athena,Western,jumpsuit,Women,athena women black solid basic jumpsuit,,2499,50% OFF,"XS, S, M, L, XL",4.3,996
https://www.myntra.com/tshirts/roadster/roadster-women-maroon-solid-round-neck-t-shirt/2312181/buy,2312181,Roadster,Western,tshirts,Women,roadster women maroon solid round neck t shirt,,799,60% OFF,"XS, S, M, L, XL",4,996
https://www.myntra.com/shirts/highlander/highlander-men-blue--black-slim-fit-printed-casual-shirt/13842386/buy,13842386,HIGHLANDER,Topwear,shirts,Men,highlander men blue  black slim fit printed casual shirt,516,1099,53% OFF,"39, 40, 42, 44",4.2,995
https://www.myntra.com/kurtas/vishudh/vishudh-women-blue--pink-floral-print-a-line-kurta/10473520/buy,10473520,Vishudh,Indian Wear,kurtas,Women,vishudh women blue  pink floral print a line kurta,696,1699,59% OFF,"S, M, L, XL, XXL",4.2,995
https://www.myntra.com/kurta-sets/sangria/sangria-women-green--off-white-printed-kurta-with-palazzos--dupatta/10561392/buy,10561392,Sangria,Plus Size,kurta-sets,Women,sangria women green  off white printed kurta with palazzos  dupatta,,3999,,"XS, S, M, L, XL, XXL, 3XL",4.3,995
https://www.myntra.com/trousers/tokyo-talkies/tokyo-talkies-women-olive-green-regular-fit-solid-cargos/12391750/buy,12391750,Tokyo Talkies,Western,trousers,Women,tokyo talkies women olive green regular fit solid cargos,,2149,61% OFF,"28, 30, 32, 34",4.1,995
https://www.myntra.com/tshirts/dressberry/dressberry-women-lovely-olive-typography-talking-tee/2522986/buy,2522986,DressBerry,Western,tshirts,Women,dressberry women lovely olive typography talking tee,,999,75% OFF,"XS, S, M, L, XL",4.3,995
https://www.myntra.com/tshirts/roadster/roadster-women-pack-of-2-printed-cotton-t-shirt/17385142/buy,17385142,Roadster,Western,tshirts,Women,roadster women pack of 2 printed cotton t shirt,,1298,,"XS, S, M, L, XL",4.4,994
https://www.myntra.com/kurtas/anouk/anouk-women-mustard-yellow--gold-toned-printed-straight-kurta/12153330/buy,12153330,Anouk,Indian Wear,kurtas,Women,anouk women mustard yellow  gold toned printed straight kurta,719,1599,55% OFF,"XS, S, M, L, XL, XXL",3.8,993
https://www.myntra.com/bra/enamor/enamor-black-non-wired-removable-pads-high-coverage-medium-impact-sports-bra-sb08/1864573/buy,1864573,Enamor,Lingerie & Sleep Wear,bra,Women,enamor black non wired removable pads high coverage medium impact sports bra sb08,,849,,"S, M, L, XL",4.2,993
https://www.myntra.com/shirts/all-about-you/all-about-you-women-mauve-stretchable-casual-shirt/13205276/buy,13205276,all about you,Western,shirts,Women,all about you women mauve stretchable casual shirt,,1499,50% OFF,"XS, S, M, L, XL",4.2,993
https://www.myntra.com/tops/kassually/kassually-blue-floral-cinched-waist-top-with-puff-sleeves/11535928/buy,11535928,KASSUALLY,Western,tops,Women,kassually blue floral cinched waist top with puff sleeves,,1299,62% OFF,"XS, S, M, L, XL, XXL",4.3,992
https://www.myntra.com/tops/rare/rare-women-maroon-striped-top/6552977/buy,6552977,RARE,Western,tops,Women,rare women maroon striped top,,1299,57% OFF,"S, M, L, XL",4.2,991
https://www.myntra.com/trousers/zastraa/zastraa-women-maroon-slim-fit-peg-trousers/9476129/buy,9476129,Zastraa,Western,trousers,Women,zastraa women maroon slim fit peg trousers,,2699,70% OFF,"26, 28, 30, 32, 34, 36",4.1,991
https://www.myntra.com/shorts/wisstler/wisstler-women-navy--pink-chevron-print-regular-fit-shorts/2017530/buy,2017530,WISSTLER,Western,shorts,Women,wisstler women navy  pink chevron print regular fit shorts,,899,61% OFF,"26, 28, 30, 32, 34, 36",4,991
https://www.myntra.com/kurtas/sangria/sangria-women-black--green-printed-straight-kurta/11173948/buy,11173948,Sangria,Plus Size,kurtas,Women,sangria women black  green printed straight kurta,359,899,"60% OFF, Hurry*","XS, S, M, L, XL, XXL, 3XL",4,990
https://www.myntra.com/shorts/roadster/roadster-women-blue-solid-regular-fit-denim-shorts/11118428/buy,11118428,Roadster,Western,shorts,Women,roadster women blue solid regular fit denim shorts,,1199,55% OFF,"26, 28, 30, 32, 34, 36",4.3,990
https://www.myntra.com/tshirts/roadster/roadster-women-green--teal-green-pack-of-2-printed-round-neck-t-shirts/17383362/buy,17383362,Roadster,Western,tshirts,Women,roadster women green  teal green pack of 2 printed round neck t shirts,,1598,50% OFF,"L, M, S, XS, XL",4.2,990
https://www.myntra.com/dresses/vishudh/vishudh-women-navy-blue--green-maxi-dress/9971493/buy,9971493,Vishudh,Western,dresses,Women,vishudh women navy blue  green maxi dress,,2349,65% OFF,"S, M, L, XL, XXL",4.4,990
https://www.myntra.com/jumpsuit/cottinfab/cottinfab-olive-green-solid-cold-shoulder-jumpsuit/7846797/buy,7846797,Cottinfab,Western,jumpsuit,Women,cottinfab olive green solid cold shoulder jumpsuit,,2449,65% OFF,"S, M, L, XL, XXL",4.3,990
https://www.myntra.com/jumpsuit/quiero/quiero-women-maroon-wrap-detail-jumpsuit/10771696/buy,10771696,QUIERO,Western,jumpsuit,Women,quiero women maroon wrap detail jumpsuit,,2959,55% OFF,"XS, S, M, L, XL",4.3,990
https://www.myntra.com/tshirts/roadster/roadster-women-rust-pink--white-colourblocked-round-neck-pure-cotton-t-shirt-with-twisted-detail/10969948/buy,10969948,Roadster,Western,tshirts,Women,roadster women rust pink  white colourblocked round neck pure cotton t shirt with twisted detail,,899,60% OFF,"XS, S, M, L, XL",4.1,990
https://www.myntra.com/bath-robe/elevanto/elevanto-women-fuchsia-pink-solid-bath-robe/11938872/buy,11938872,ELEVANTO,Lingerie & Sleep Wear,bath-robe,Women,elevanto women fuchsia pink solid bath robe,489,999,51% OFF,Onesize,4.2,989
https://www.myntra.com/track-pants/tokyo-talkies/tokyo-talkies-women-black-solid-casual-joggers/14154054/buy,14154054,Tokyo Talkies,Western,track-pants,Women,tokyo talkies women black solid casual joggers,,1199,49% OFF,"S, M, L, XL",4.3,989
https://www.myntra.com/jeans/wrogn/wrogn-men-blue-skinny-fit-mid-rise-clean-look-stretchable-jeans/2477061/buy,2477061,WROGN,Bottom Wear,jeans,Men,wrogn men blue skinny fit mid rise clean look stretchable jeans,1539,2799,45% OFF,"28, 30, 32, 34, 36, 38",4,988
https://www.myntra.com/jeans/wrogn/wrogn-men-black-slim-fit-mid-rise-clean-look-stretchable-jeans/10187401/buy,10187401,WROGN,Bottom Wear,jeans,Men,wrogn men black slim fit mid rise clean look stretchable jeans,1429,2599,45% OFF,"28, 30, 32, 34, 36, 38",4.1,988
https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-olive-green-camo-athleisure-track-pants/6791064/buy,6791064,HRX by Hrithik Roshan,Sports Wear,track-pants,Men,hrx by hrithik roshan men olive green camo athleisure track pants,759,1899,60% OFF,"S, M, L, XL, XXL",4,988
https://www.myntra.com/shirts/roadster/roadster-men-sea-green-pure-cotton-sustainable-casual-shirt/12918912/buy,12918912,Roadster,Topwear,shirts,Men,roadster men sea green pure cotton sustainable casual shirt,599,1199,50% OFF,"38, 40, 42, 44, 46, 48",4.3,988
https://www.myntra.com/tights/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-black-self-striped-seamless-rapid-dry-yoga-tights/11245584/buy,11245584,HRX by Hrithik Roshan,Sports Wear,tights,Women,hrx by hrithik roshan black self striped seamless rapid dry yoga tights,594,1699,65% OFF,"XS, S, M, L, XL, XXL",4,988
https://www.myntra.com/trousers/sassafras/sassafras-women-olive-green-peg-trousers/8643285/buy,8643285,SASSAFRAS,Western,trousers,Women,sassafras women olive green peg trousers,,1599,50% OFF,"26, 28, 30, 32, 34, 36",3.6,988
https://www.myntra.com/tops/her-by-invictus/her-by-invictus-white--black-floral-monochrome-smart-casual-top/9451341/buy,9451341,her by invictus,Western,tops,Women,her by invictus white  black floral monochrome smart casual top,,1699,30% OFF,"S, M, L, XL, XXL",4.2,988
https://www.myntra.com/jackets/stylestone/stylestone-women-blue-solid-denim-jacket/7526008/buy,7526008,StyleStone,Western,jackets,Women,stylestone women blue solid denim jacket,,1999,55% OFF,"S, M, L, XL",4.2,988
https://www.myntra.com/tops/mayra/mayra-women-mustard-yellow--green-ditsy-floral-printed-cinched-waist-top/11235516/buy,11235516,Mayra,Western,tops,Women,mayra women mustard yellow  green ditsy floral printed cinched waist top,,995,58% OFF,"S, M, L, XL",4.1,988
https://www.myntra.com/jeans/roadster/roadster-men-navy-blue-super-skinny-fit-acid-wash-clean-look-stretchable-jeans/10064541/buy,10064541,Roadster,Bottom Wear,jeans,Men,roadster men navy blue super skinny fit acid wash clean look stretchable jeans,799,1999,60% OFF,"28, 30, 32, 34, 36, 38, 40",3.8,987
https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-quarter-length-pack-of-3-terry-socks/976816/buy,976816,HRX by Hrithik Roshan,Inner Wear &  Sleep Wear,socks,Men,hrx by hrithik roshan men quarter length pack of 3 terry socks,359,599,40% OFF,Onesize,4.5,987
https://www.myntra.com/tshirts/moda-rapido/moda-rapido-men-olive-green--yellow-striped-cotton-pure-cotton-t-shirt/11269190/buy,11269190,Moda Rapido,Topwear,tshirts,Men,moda rapido men olive green  yellow striped cotton pure cotton t shirt,479,1199,60% OFF,"S, M, L, XL",4.2,987
https://www.myntra.com/tshirts/moda-rapido/moda-rapido-men-olive-green-printed-round-neck-pure-cotton-t-shirt/10266495/buy,10266495,Moda Rapido,Topwear,tshirts,Men,moda rapido men olive green printed round neck pure cotton t shirt,399,999,60% OFF,"S, M, L, XL",4,987
https://www.myntra.com/tops/harpa/harpa-women-pink-printed-wrap-top/8986005/buy,8986005,Harpa,Western,tops,Women,harpa women pink printed wrap top,,1199,52% OFF,"S, M, L, XL",4,987
