review,label,Predicted_Label
product amazing love much exceeded expectation,1,1
service wa terrible waited hour one even acknowledged,0,0
im disappointed purchase quality poor broke one use,0,0
food wa delicious atmosphere wa great would definitely recommend restaurant,1,1
staff wa helpful friendly went beyond make sure good experience,1,1
delivery wa delayed item arrived damaged im happy company,0,0
im impressed product exactly needed work perfectly,1,1
website wa difficult navigate checkout process wa confusing,0,0
best product ive ever bought im glad decided try,1,1
customer service wa awful rude unhelpful,0,0
